a_DT_date,a_DT_time,a_rank,b_name,c_symbol,d_price,e_P24h,f_P7d,g_marketCap,h_volumnCOIN,h_volumnUSD,i_circulatingSupply,k_imageChart
12/11/2021,12:08:32,1402,DATA,DTA,$0.0003871,+1.05,-8.62,"$4,452,083","688,445,857 DTA","$266,523","11,500,000,000 DTA",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2446.svg
12/11/2021,12:08:32,1403,Innovation Blockchain Payment,IBP,$0.0234,+6.38,+0.67,"$4,398,660","17,317,884 IBP","$405,169","188,009,206 IBP",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/6625.svg
12/11/2021,12:08:32,1404,TrumpCoin,TRUMP,$0.6659,+3.34,+9.01,"$4,398,130","32,655 TRUMP","$21,747","6,604,387 TRUMP",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1185.svg
12/11/2021,12:08:32,1405,Pawtocol,UPI,$0.017,-3.92,-6.94,"$4,385,359","9,798,197 UPI","$166,594","257,924,377 UPI",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5086.svg
12/11/2021,12:08:32,1406,Göztepe S.K. Fan Token,GOZ,$3.94,+7.21,+6.63,"$4,331,464","139,178 GOZ","$548,039","1,100,000 GOZ",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/9507.svg
12/11/2021,12:08:32,1407,Fatcoin,FAT,$0.0391,+0.94,-3.30,"$4,326,882","45,699,428 FAT","$1,786,955","110,655,308 FAT",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3766.svg
12/11/2021,12:08:32,201,HEX,HEX,$0.236,+6.76,+9.83,"$40,922,759,440","231,941,513 HEX","$54,735,182","173,411,074,413 HEX",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5015.svg
12/11/2021,12:08:32,1408,Chainge,CHNG,$0.08196,-2.50,-9.17,"$4,294,162","28,973,591 CHNG","$2,374,633","52,394,312 CHNG",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/9071.svg
12/11/2021,12:08:32,1409,Jade Currency,JADE,$0.08029,-2.84,-1.54,"$4,307,771","5,547,141 JADE","$445,382","53,652,398 JADE",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5025.svg
12/11/2021,12:08:32,1410,Moontography,MTGY,$0.009278,+2.18,-2.91,"$4,284,103","20,880,058 MTGY","$193,731","461,734,045 MTGY",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/12033.svg
12/11/2021,12:08:33,601,Hydra,HYDRA,$14.87,-0.06,+4.51,"$57,378,855","42,600 HYDRA","$633,474","3,858,584 HYDRA",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/8245.svg
12/11/2021,12:08:33,202,Lido stETH,STETH,"$4,751.40",+3.27,+5.45,"$6,961,069,369","3,766 STETH","$17,893,416","1,465,055 STETH",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/8085.svg
12/11/2021,12:08:33,203,Wrapped BNB,WBNB,$631.55,+2.52,+8.36,"$3,386,886,157","2,473,892 WBNB","$1,562,383,845","5,362,824 WBNB",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/7192.svg
12/11/2021,12:08:33,204,Bitcoin Cash ABC,BCHA,$165.03,+3.98,+2.82,"$3,065,069,753",506 BCHA,"$83,556","18,572,921 BCHA",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/7686.svg
12/11/2021,12:08:33,205,Huobi BTC,HBTC,"$65,004.60",+0.52,+4.31,"$2,592,649,006",57 HBTC,"$3,698,114","39,884 HBTC",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/6941.svg
12/11/2021,12:08:33,206,SafeMoon,SAFEMOON,$0.000003802,-0.37,-9.18,"$2,225,938,358","3,163,656,578,279 SAFEMOON","$12,026,759","585,536,366,402,812 SAFEMOON",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/8757.svg
12/11/2021,12:08:33,207,Symbol,XYM,$0.3783,+3.32,-3.48,"$2,111,740,195","16,787,474 XYM","$6,350,387","5,582,460,005 XYM",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/8677.svg
12/11/2021,12:08:33,602,NFTb,NFTB,$0.5399,+5.80,+3.68,"$57,364,353","12,391,652 NFTB","$6,690,674","106,243,272 NFTB",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/9545.svg
12/11/2021,12:08:33,603,Reflexer Ungovernance Token,FLX,$395.90,-2.83,-5.35,"$57,213,076","1,694 FLX","$670,780","144,513 FLX",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/9493.svg
12/11/2021,12:08:33,604,NULS,NULS,$0.5734,+0.26,+0.11,"$57,124,087","14,505,286 NULS","$8,317,557","99,620,739 NULS",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2092.svg
12/11/2021,12:08:33,605,ForTube,FOR,$0.0892,+0.47,+0.50,"$57,045,770","169,975,141 FOR","$15,161,938","639,520,000 FOR",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4118.svg
12/11/2021,12:08:33,606,Venus BUSD,vBUSD,$0.02114,+0.10,+0.19,"$56,970,296",,,"2,694,770,470 vBUSD",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/7959.svg
12/11/2021,12:08:33,1601,HeroFi,HEROEGG,$0.02882,+9.78,-4.55,"$2,484,779","14,575,207 HEROEGG","$420,013","86,226,371 HEROEGG",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/11605.svg
12/11/2021,12:08:33,208,BitDAO,BIT,$3.09,+6.83,+2.95,"$1,809,606,909","60,358,573 BIT","$186,302,599","586,278,943 BIT",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/11221.svg
12/11/2021,12:08:33,209,yOUcash,YOUC,$0.2542,+2.99,+3.47,"$1,702,632,484","761,706 YOUC","$193,663","6,696,709,142 YOUC",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/7321.svg
12/11/2021,12:08:33,210,Creditcoin,CTC,$2.99,-7.83,-1.67,"$1,691,995,489","2,140,704 CTC","$6,411,063","564,970,555 CTC",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5198.svg
12/11/2021,12:08:33,801,Dfyn Network,DFYN,$0.7397,+6.23,+4.23,"$29,139,367","4,823,983 DFYN","$3,568,203","39,394,567 DFYN",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/9511.svg
